Mánaðarmeðaltöl fyrir stöð 875 - Leirubakki,,,,,,,,,,,,,,,,,
stöð,ár,mán,t,tx,txx,txxD1,tn,tnn,tnnD1,rh,r,rx,rxD1,p,n,sun,f
875,1960,7,NA,NA,NA,NA,NA,NA,NA,NA,31.2,5.4,24,NA,NA,NA,NA
875,1960,8,NA,NA,NA,NA,NA,NA,NA,NA,6.3,3,13,NA,NA,NA,NA
875,1960,9,NA,NA,NA,NA,NA,NA,NA,NA,66.3,14.8,10,NA,NA,NA,NA
875,1960,10,NA,NA,NA,NA,NA,NA,NA,NA,44.4,19.7,16,NA,NA,NA,NA
875,1960,11,NA,NA,NA,NA,NA,NA,NA,NA,13.7,5.8,1,NA,NA,NA,NA
875,1960,12,NA,NA,NA,NA,NA,NA,NA,NA,47.6,15.5,30,NA,NA,NA,NA
875,1961,1,NA,NA,NA,NA,NA,NA,NA,NA,82.1,16.3,27,NA,NA,NA,NA
875,1961,2,NA,NA,NA,NA,NA,NA,NA,NA,103.5,27.5,23,NA,NA,NA,NA
875,1961,3,NA,NA,NA,NA,NA,NA,NA,NA,159.4,31.2,6,NA,NA,NA,NA
875,1961,4,NA,NA,NA,NA,NA,NA,NA,NA,2.6,0.8,5,NA,NA,NA,NA
875,1961,5,NA,NA,NA,NA,NA,NA,NA,NA,45,10.1,10,NA,NA,NA,NA
875,1961,6,NA,NA,NA,NA,NA,NA,NA,NA,84.8,14.8,12,NA,NA,NA,NA
875,1961,7,NA,NA,NA,NA,NA,NA,NA,NA,85.5,16.8,9,NA,NA,NA,NA
875,1961,8,NA,NA,NA,NA,NA,NA,NA,NA,87.5,13.8,9,NA,NA,NA,NA
875,1961,9,NA,NA,NA,NA,NA,NA,NA,NA,89.8,20,4,NA,NA,NA,NA
875,1961,10,NA,NA,NA,NA,NA,NA,NA,NA,74.3,18.2,13,NA,NA,NA,NA
875,1961,11,NA,NA,NA,NA,NA,NA,NA,NA,159.9,47.1,21,NA,NA,NA,NA
875,1961,12,NA,NA,NA,NA,NA,NA,NA,NA,22.7,8.7,17,NA,NA,NA,NA
875,1962,1,NA,NA,NA,NA,NA,NA,NA,NA,141.8,18.9,29,NA,NA,NA,NA
875,1962,2,NA,NA,NA,NA,NA,NA,NA,NA,99.5,32,18,NA,NA,NA,NA
875,1962,3,NA,NA,NA,NA,NA,NA,NA,NA,2,1.9,23,NA,NA,NA,NA
875,1962,4,NA,NA,NA,NA,NA,NA,NA,NA,79,21.7,14,NA,NA,NA,NA
