Mánaðarmeðaltöl fyrir stöð 846 - Sámsstaðir,,,,,,,,,,,,,,,,,
stöð,ár,mán,t,tx,txx,txxD1,tn,tnn,tnnD1,rh,r,rx,rxD1,p,n,sun,f
846,1961,1,1.6,4.1,8,11,-1,-9,6,NA,89.3,19.4,27,NA,6,NA,3.6
846,1961,2,1.5,4.2,9.5,24,-1.2,-8,5,NA,135.1,40.1,22,NA,5.6,NA,4.2
846,1961,3,0.5,3.5,9.5,7,-2.5,-10.5,31,NA,196.9,19.9,3,NA,6.4,NA,3.6
846,1961,4,3.1,6.5,15,29,0.3,-14.5,1,NA,22.6,15.2,14,NA,4.5,NA,2.1
846,1961,5,8.1,12,15.5,1,6.1,-1,25,NA,78.4,37.3,28,NA,5.5,NA,2.9
846,1961,6,8.7,12,15,17,5.4,2.5,30,NA,89.6,20.7,8,NA,4.9,NA,3.3
846,1961,7,11.5,14.8,19,15,7.8,4.5,4,NA,57.1,10.5,14,NA,5.3,NA,2.8
846,1961,8,11.2,14.6,18.9,6,7.3,4.4,24,NA,101.6,22,23,NA,4.6,NA,2.8
846,1961,9,9.1,12.3,16.3,8,6.5,1.5,24,NA,93,20.4,4,NA,5.3,NA,5.6
846,1961,10,5.6,8.3,12,20,3.7,-4.5,31,NA,147.3,31.2,13,NA,5.6,NA,3.9
846,1961,11,2.1,4.2,9.5,13,-0.1,-7.5,24,NA,215.1,50.4,14,NA,5.5,NA,3.5
846,1961,12,-2,0.8,9,17,-4.3,-16.5,28,NA,62.3,21,19,NA,5,NA,1.7
846,1962,1,0.6,3,8.1,28,NA,NA,NA,NA,189.5,22.6,4,NA,6,NA,5.4
846,1962,2,0.4,3.2,7.6,23,NA,NA,NA,NA,133,17.8,11,NA,5.2,NA,4.9
846,1962,3,-1.4,1.5,11.1,19,NA,NA,NA,NA,2.7,2.1,23,NA,4.7,NA,3.1
846,1962,4,4.6,7.7,12.4,25,NA,NA,NA,NA,113.9,32,15,NA,5.3,NA,3.2
846,1962,5,6.9,10.4,14,28,NA,NA,NA,NA,59.7,17.2,27,NA,5.1,NA,2.9
846,1962,6,9.2,12.4,17.8,19,6.9,4.2,9,NA,54.6,8.2,6,NA,5.7,NA,3.3
846,1962,7,11.4,14.3,19.5,20,8.4,4,2,NA,72.3,27.2,1,NA,4.6,NA,2.2
846,1962,8,10.9,14.4,17.6,5,7.4,3,13,NA,67.8,13.9,31,NA,4.3,169.3,2.4
846,1962,9,7.5,10.8,14,1,4.8,-0.6,16,NA,123.3,41,19,NA,5.2,119.6,3.8
846,1962,10,4.8,7.5,11.2,5,2.4,-7.5,31,NA,183.3,25.1,21,NA,6.2,64.8,2.1
846,1962,11,1,3.6,11,6,-2.1,-9.5,15,NA,83.6,26,10,NA,5.1,47.2,3.2
846,1962,12,0.4,3,9.5,2,-2.1,-12,12,NA,169.7,36,19,NA,5.8,23.7,4.6
846,1963,1,-0.2,2,7,24,-2.9,-10.2,11,NA,57.1,15.2,24,NA,5.3,55.2,2.7
846,1963,2,1.7,3.7,7,16,-0.7,-12,5,NA,75.9,22,28,NA,5.7,54.6,4.5
846,1963,3,5,7.8,11.4,19,2.6,-2.5,12,NA,99.4,27.2,2,NA,4.9,82.9,3.4
846,1963,4,4.4,8,13.4,22,1.6,-14.2,11,NA,50.7,12.4,26,NA,5.1,108.8,5
846,1963,5,6,9.4,15.2,12,2.1,-5,6,NA,91.9,29.2,30,NA,5,174.4,4.5
846,1963,6,10.3,13.6,20,7,7.4,4.5,16,NA,39.8,11.2,26,NA,5.4,NA,1.6
846,1963,7,11.1,15.3,22.8,8,7.1,1,16,NA,57.4,11.1,30,NA,4.4,NA,4.6
846,1963,8,10.2,13.8,19,11,7,2,27,NA,37.1,11.5,5,NA,5.2,144.5,2.2
846,1963,9,5.7,9.6,15,2,2.9,-2,27,NA,128.3,42.5,19,NA,5.4,129.3,3.6
846,1963,10,5.1,8.3,12,27,2.5,-2.3,10,NA,148.5,17.7,20,NA,6.1,69.1,3.9
846,1963,11,-1.3,2,9,29,-4.2,-12.5,23,NA,103.7,40,27,NA,5.1,63.2,3.4
846,1963,12,2.1,4.3,10,11,-0.2,-9.5,26,NA,87.9,19,22,NA,6,3.8,2.1
846,1964,1,3.2,5.9,10,18,0.7,-11,30,NA,189.7,21.6,22,NA,6.3,16.9,4.6
846,1964,2,3,5.6,12,26,0,-13,3,NA,53.7,11.6,7,NA,6.9,NA,1.7
846,1964,3,5.7,8.8,12,27,2.6,-4.2,24,NA,93.5,18.9,26,NA,5.8,66.1,3
846,1964,4,4.6,8,13,25,1.4,-2.5,20,NA,104,23.6,18,NA,5.5,170.8,2.2
846,1964,5,8.1,11.5,15.6,17,4.8,-1,14,NA,38.1,8.7,17,NA,5.7,150.5,3.5
846,1964,6,9.2,12.7,16.5,16,5.8,1.6,27,NA,93.1,22.2,14,NA,5.5,166.7,3
846,1964,7,10.2,13.6,17.5,9,7.5,2.5,28,NA,146.6,18,24,NA,5.5,160.9,3.1
846,1964,8,9.5,13.9,19,7,6.2,0,21,NA,25.7,10.8,16,NA,4.6,210.2,3.5
846,1964,9,7.2,10.6,16.5,5,4.8,-2.5,20,NA,86.8,17,1,NA,5.2,125.1,2.5
846,1964,10,5.2,8.5,15.9,4,2.6,-4,8,NA,190.6,30.2,21,NA,5.6,85.6,3.1
846,1964,11,2.8,5,10.9,11,0.2,-11.5,17,NA,159.7,24,8,NA,5.6,21.5,2.7
846,1964,12,-2,0.6,8.9,18,-5.5,-14,13,NA,92,28,19,NA,4.8,23.9,3.4
846,1965,1,0.1,2.6,8.4,6,-2.8,-12,14,NA,81.8,13.7,4,NA,5.1,39.1,3.2
846,1965,2,3.3,5.8,9.4,18,0.8,-9,12,NA,76.5,13,9,NA,5.1,72.8,2.5
846,1965,3,0.3,4.7,17.9,31,-3.6,-13,24,NA,24,6,6,NA,4,152.3,2.7
846,1965,4,3.8,7.8,15.4,30,0.3,-10,13,NA,75.3,13.8,3,NA,4.5,205.4,2.8
846,1965,5,7.5,11.5,15.5,14,4.5,0,4,NA,26.9,12.2,31,NA,4.2,174.1,2.7
846,1965,6,9.1,12.7,17.2,15,6,3.5,7,NA,53.7,9.8,5,NA,4.8,143.5,2.3
846,1965,7,11.6,15.2,24,4,8.4,4.5,26,NA,30.5,7,1,NA,4.3,182.3,2.7
846,1965,8,10.2,14.2,17.6,10,7,0,27,NA,76.7,15,19,NA,4.1,181.1,3.5
846,1965,9,7.6,11.2,13.4,19,4.8,0,9,NA,67.7,12,3,NA,4.6,136,2.5
846,1965,10,7.2,10,14,4,4.6,-2.2,31,NA,261.3,59.8,20,NA,5.6,65.6,3.6
846,1965,11,0,2.5,10.3,10,-2.4,-11.5,29,NA,44.3,9,6,NA,3.6,83,2.5
846,1965,12,-0.9,1.7,9.4,15,-3.6,-13,27,NA,28.2,8,21,NA,5.2,17.7,4.6
846,1966,1,-1,1.1,8.9,6,-3.7,-17,24,NA,39.7,12,6,NA,5.4,47,3.9
846,1966,2,-0.7,2.3,7,3,-3.2,-11,20,NA,11,10,28,NA,3.9,94.8,4.5
846,1966,3,0.2,3,7.9,15,NA,NA,NA,NA,131.5,18,18,NA,4.7,60.9,4.6
846,1966,4,3.8,7.5,12.5,30,0.6,-6,1,NA,54,11.5,3,NA,4.5,136.2,2.3
846,1966,5,5.8,9.5,14,12,1.9,-5,7,NA,94.6,14.2,28,NA,4.9,167.6,2.9
846,1966,6,10.2,13.1,16.9,18,6.5,2,10,NA,211.3,67,6,NA,4.7,121.5,2.9
846,1966,7,10.8,14.6,19.7,31,7.5,4,25,NA,139.8,46,22,NA,4.5,207.6,3.9
846,1966,8,10.7,14.3,22.1,1,8,5,10,NA,83.5,39.5,25,NA,4.8,146,2.7
846,1966,9,8.4,10.9,13.5,3,5.8,-1,9,NA,70.6,29.5,18,NA,5.1,58.2,2.3
846,1966,10,3.1,7.3,12.2,10,0.7,-5,31,NA,57.5,21.5,30,NA,3.3,118.1,2.5
846,1966,11,0.3,3.2,9.5,17,-2.8,-9,27,NA,201.2,32,22,NA,5.3,NA,4.1
846,1966,12,-1.8,0.9,5.6,4,-4.7,-14.5,24,NA,99.5,17,8,NA,4.4,26.8,5.3
846,1967,1,2.2,4.4,8.5,14,-0.7,-8.5,19,NA,156.5,68,15,NA,4.8,43.4,4.8
846,1967,2,1.8,4.2,9.5,15,-0.3,-10.5,28,NA,108.5,14,14,NA,4.4,29.3,4.2
846,1967,3,-2.9,1.1,7.2,18,-6.3,-13.5,2,NA,93.4,26,20,NA,4.6,130,4.7
846,1967,4,2.2,5.5,10.2,8,-1.2,-11,17,NA,130.4,22.3,14,NA,5.3,105.2,3.3
846,1967,5,6,10,14.5,11,2,-7.2,1,NA,21.6,13.2,16,NA,3.2,256.6,2.4
846,1967,6,9,12.6,15.2,29,6.1,2.5,7,NA,115.8,23.8,11,NA,5.9,154.7,4.7
846,1967,7,11.3,15.2,20.2,11,7.7,5,9,NA,49.3,21,9,NA,6,264.8,3.1
846,1967,8,10.5,14.1,17.6,16,7.2,4.5,3,NA,120.4,45.5,22,NA,6.2,197.5,2.6
846,1967,9,8.2,11.9,15.5,10,5.8,1.5,6,NA,112.8,29.2,17,NA,6.6,105.4,2.9
846,1967,10,2.8,6.3,12,2,0.3,-12.5,17,NA,23.4,5.3,9,NA,5.6,110.5,3.9
846,1967,11,0.3,3.2,9,18,-2.7,-10.5,28,NA,150.2,26,21,NA,6.3,52.7,5
846,1967,12,-0.9,2,8.5,22,-3.8,-14.7,8,NA,285.8,61.8,11,NA,6.5,23.6,NA
846,1968,1,-1,1.7,6.5,18,-3.9,-17.7,2,NA,129.4,26.9,26,NA,6.5,19.8,5
846,1968,2,-0.8,1.4,7.7,28,-3.8,-12.8,1,NA,130,31.4,28,NA,5.8,38.2,4
846,1968,3,-0.6,2.2,7.5,9,-3.4,-17,31,NA,99.8,18,5,NA,6,96.7,4.2
846,1968,4,3.2,6.9,12.4,19,0.2,-19.2,1,NA,82.2,12,10,NA,5.5,149.7,3
846,1968,5,5.6,9.9,16.9,25,2,-5,4,NA,12,7,31,NA,5.6,226.8,2.9
846,1968,6,8.7,11.9,16.5,6,6.3,1.5,24,NA,91.5,12.8,18,NA,6.8,97.7,2.4
846,1968,7,11.7,15,21.2,5,9.1,6.2,11,NA,66.9,15,29,NA,6.2,179.1,1.5
846,1968,8,10.2,13.7,19.7,9,7.3,2,18,NA,182,35,26,NA,6.1,143.9,3.4
846,1968,9,9.2,12.9,18.5,11,7,-2.5,30,NA,51,17.3,3,NA,6.4,114,3.8
846,1968,10,3.6,6.5,12.6,19,1.1,-9.9,31,NA,59.8,9.7,26,NA,6.4,67.6,5.1
846,1968,11,5,6.7,12.2,17,2.7,-8.5,1,NA,72.1,16.8,17,NA,6.8,38.8,6.7
846,1968,12,0.1,2.5,10.5,7,-2.6,-14,19,NA,99.6,22.5,7,NA,6.5,31.7,6.4
846,1969,1,-1.7,1.1,8.8,22,-4.5,-17.5,15,NA,69.8,34.1,1,NA,6,55.4,6.8
846,1969,2,-2.7,0.2,7.7,28,-6,-19.1,7,NA,111,22.4,28,NA,6.2,66.7,5.5
846,1969,3,1.4,4.2,10.7,25,-1.6,-17,8,NA,140.6,20,27,NA,6.6,76.8,5.4
846,1969,4,3.5,7.1,13.5,29,-0.4,-8,12,NA,116,21.6,4,NA,6.4,179.8,8.9
846,1969,5,6.9,10.7,16.6,25,3.4,-2,13,NA,48.6,17.7,21,NA,6.4,187.5,5.9
846,1969,6,10,13.1,16.7,27,7.2,2.5,13,NA,123.6,18.7,25,NA,6.9,111.4,6.1
846,1969,7,10.4,13.3,17.5,6,7,3.6,18,NA,125.6,26.8,2,NA,6.4,162.6,7.7
846,1969,8,11.3,14.1,17.6,20,9,4.5,22,NA,148,27,13,NA,7.1,85.7,7.2
846,1969,9,5.6,8.6,13.5,2,3.2,-4.1,30,NA,151.6,21.7,8,NA,6.7,99.5,6.8
846,1969,10,5.3,7.7,12.6,7,3,-5.2,1,NA,148.6,16.6,3,NA,7.7,29.1,8.6
846,1969,11,-2.3,0.5,5.5,30,-5.5,-10.6,14,NA,48.8,18.3,30,NA,6.2,75.1,7
846,1969,12,0.3,2.8,6.8,27,-2.7,-13.9,11,NA,161,36.4,14,NA,6.7,12.8,5.9
846,1970,1,0.9,3,8.5,20,-1.3,-13.3,7,NA,83.2,26.5,21,NA,6.2,28,8
846,1970,2,-1.9,0.7,4.8,28,-4.9,-11,5,NA,92,31.4,28,NA,5.4,95.7,7.3
846,1970,3,-2,0.8,5.6,16,-5.3,-13,26,NA,177.4,36.2,29,NA,6.3,152.6,8.5
846,1970,4,2.8,5.9,10.1,30,-0.5,-5,1,NA,61.3,15.9,15,NA,6,154,6.8
846,1970,5,7.1,10.2,15.5,11,4.2,0.4,2,NA,127.7,15.3,20,NA,7.2,125.9,7.1
846,1970,6,9.4,12.5,18.4,22,6.2,1,1,NA,104.7,18,3,NA,7,133.9,5.5
846,1970,7,9.9,13.9,18.7,14,6.1,3.2,18,NA,40.4,8.8,16,NA,5.3,244.8,6
846,1970,8,10.5,13.1,18.3,5,7.5,1,16,NA,130.8,41.2,25,NA,7.1,110.5,5.1
846,1970,9,7.7,10.9,15.4,22,4.7,0.5,1,NA,108.1,21.8,29,NA,6.6,123.3,6.3
846,1970,10,3.9,6.2,15,13,1.4,-7.8,27,NA,159.3,48,9,NA,6.7,69.6,6.9
846,1970,11,0.6,2.8,8,7,-1.8,-7,12,NA,39.2,14.3,8,NA,6.6,46,5.8
846,1970,12,1.6,4.2,9.5,14,-1.6,-9.5,20,NA,142.8,19.8,10,NA,6.9,20.5,6.8
846,1971,1,-2.2,0.5,9.7,11,-5.2,-14,30,NA,35.6,8.4,27,NA,5.9,64.4,7.1
846,1971,2,1,3.6,9,25,-1.4,-6.4,13,NA,143.9,21,8,NA,6.9,43.8,7.9
846,1971,3,1.6,4.3,8.2,7,-0.8,-10.6,21,NA,99.1,11.2,31,NA,7,82.9,5.6
846,1971,4,4.5,7,11.7,23,1.4,-5.5,16,NA,91.2,21.3,10,NA,7.2,98.7,6.8
846,1971,5,7.6,10.8,15,8,4.6,1.1,15,NA,101.1,10.1,24,NA,7,151.1,5.9
846,1971,6,10.4,14.1,20.4,12,6,2.8,22,NA,29.7,16.2,25,NA,6,261.5,5.8
846,1971,7,11.2,14.3,18.3,15,8.2,6,9,NA,99.1,31.5,15,NA,6.7,173.4,5.6
846,1971,8,10.2,13.4,18.1,13,6.8,1.9,28,NA,67.6,15.7,18,NA,6.6,177.5,6.1
846,1971,9,8.3,11.6,20.2,10,5.9,1.1,22,NA,172.5,24.1,18,NA,7.4,94.7,6.1
846,1971,10,4.4,7.1,13,4,1.6,-8.3,12,NA,136.6,25.5,17,NA,6.6,89.7,6.1
846,1971,11,0.2,2.8,8,14,-2.3,-13.2,17,NA,154.6,31.4,14,NA,6.8,25,5.9
846,1971,12,0.6,3.3,8.5,5,-2.3,-11,13,NA,144.4,14.5,31,NA,7.2,5.5,5.9
846,1972,1,2.6,4.9,9,11,0.6,-7.5,24,NA,101.8,21.3,18,NA,7.2,13.5,8.6
846,1972,2,2.6,4.8,9.3,26,0.4,-8.4,15,NA,181.5,48.4,23,NA,7,48.8,6
846,1972,3,2.2,4.7,8.5,16,-0.2,-5.9,29,NA,223.8,38.2,3,NA,6.7,107,6.7
846,1972,4,4.1,7.3,14,20,1.1,-5.8,3,NA,76.6,14.2,13,NA,6.4,160,8.3
846,1972,5,8.4,11.2,15.2,21,5,-4.1,1,NA,72,23.3,5,NA,NA,161.7,8.1
846,1972,6,9.4,12.7,18,22,5.3,1.7,17,NA,64,27.9,16,NA,5.9,198.5,5.7
846,1972,7,10.2,13,16,7,7.7,4.9,11,NA,108.2,16.7,14,NA,7.3,85.6,5.2
846,1972,8,9.6,12.8,18,12,5.7,2.6,23,NA,113.1,16.3,19,NA,6.4,175.7,7.1
846,1972,9,7.9,10.9,13.8,23,5.5,-1.5,9,NA,141.5,22,5,NA,6.9,102.9,7
846,1972,10,4.5,7,10.5,5,1.8,-4.6,23,NA,176.4,37.9,12,NA,7.2,57.6,6.3
846,1972,11,-0.1,2.1,8.8,6,-2.4,-9.5,22,NA,123.3,15.6,25,NA,6.5,43.6,7.6
846,1972,12,1.3,3.7,10.3,17,-1.1,-4.5,7,NA,174.6,25.1,19,NA,6.8,19.7,9.7
846,1973,1,2.8,5.1,9.5,10,0.5,-4.7,26,NA,189.5,19.5,16,NA,7,7.7,7.5
846,1973,2,-1.7,1.1,7.5,3,-4.9,-11.9,23,NA,135.7,27.4,11,NA,6.9,42.6,10.8
846,1973,3,1.6,4.4,8,13,-1,-9.8,5,NA,180.3,33,21,NA,7.1,71.1,7.7
846,1973,4,3.3,6,10.5,23,0,-11.9,2,NA,86.5,27,4,NA,6.8,115.5,5.5
846,1973,5,5.9,9.4,13.6,25,1.5,-4.3,2,NA,66.9,27.2,16,NA,5.7,221.5,6.4
846,1973,6,8.2,10.9,14,3,4.8,0.8,11,NA,81.9,20,26,NA,6.5,144.2,6.3
846,1973,7,11.1,14.1,20,22,7.7,3.7,1,NA,61.6,17,6,NA,6.4,193,4.4
846,1973,8,10.4,13.9,18.7,16,6.8,1.4,18,NA,117.6,20,25,NA,6.3,162.2,5.8
846,1973,9,8.7,11.5,15,2,5.5,0.8,29,NA,87.9,31.2,25,NA,6.8,99.4,5
846,1973,10,4.7,7.1,12.7,5,1.5,-5.4,17,NA,232.4,39.5,29,NA,6.3,75.3,5.5
846,1973,11,-1.5,1.5,8,6,-4.8,-11.3,16,NA,141.3,54,7,NA,6.1,55.3,6.2
846,1973,12,-3.8,-0.3,7.7,2,-7.3,-18.2,18,NA,90.4,19,2,NA,5.5,37.9,7.7
846,1974,1,1.3,3.6,7.4,5,-1.5,-8.5,18,NA,125.5,20,23,NA,6.3,7.9,6
846,1974,2,0.1,2.4,7.5,26,-3.2,-10.2,9,NA,135.1,26,18,NA,5.5,68.4,7.9
846,1974,3,4.4,6.5,9.1,21,1.1,-6.6,2,NA,184.8,32.8,6,NA,7,59.8,7.8
846,1974,4,6.7,8.7,12.6,30,4.6,-1.9,3,NA,141.1,33.2,8,NA,7.5,53.8,5.3
846,1974,5,8.4,11.6,17,23,5.4,-0.2,28,NA,37.5,6.2,21,NA,6.3,135.6,5.2
